Date,Index Code,Index Name,Index Name(Eng.),Constituent Code,Constituent Name,Constituent Name(Eng.),Exchange,(%)Weight(%)
2017-11-30,000300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,SHH,1.52
2017-11-30,000300,沪深300,CSI 300,601333,广深铁路,Guangshen Railway Company Limited,SHH,0.15
2017-11-30,000300,沪深300,CSI 300,601336,新华保险,New China Life Insurance Co Ltd,SHH,0.46
2017-11-30,000300,沪深300,CSI 300,601375,中原证券,"CENTRAL CHINA SECURITIES CO., LTD.",SHH,0.05
2017-11-30,000300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,SHH,0.33
2017-11-30,000300,沪深300,CSI 300,601390,中国中铁,China Railway Group Limited,SHH,0.57
2017-11-30,000300,沪深300,CSI 300,601398,工商银行,Industrial and Commercial Bank of China Ltd,SHH,1.12
2017-11-30,000300,沪深300,CSI 300,601555,东吴证券,Soochow Securities Co Ltd,SHH,0.23
2017-11-30,000300,沪深300,CSI 300,601600,中国铝业,Aluminum Corporation of China Limited,SHH,0.47
2017-11-30,000300,沪深300,CSI 300,601601,中国太保,China Pacific Insurance (Group) Co Ltd,SHH,1.15
2017-11-30,000300,沪深300,CSI 300,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",SHH,0.25
2017-11-30,000300,沪深300,CSI 300,601608,中信重工,"CITIC HEAVY INDUSTRIES CO., LTD.",SHH,0.07
2017-11-30,000300,沪深300,CSI 300,601611,中国核建,China Nuclear Engineering Corporation Limited,SHH,0.05
2017-11-30,000300,沪深300,CSI 300,601618,中国中冶,Metallurgical Corporation of China Co Ltd,SHH,0.23
2017-11-30,000300,沪深300,CSI 300,601628,中国人寿,China Life Insurance Company Limited,SHH,0.45
2017-11-30,000300,沪深300,CSI 300,601633,长城汽车,Great Wall Motor Co Ltd,SHH,0.12
2017-11-30,000300,沪深300,CSI 300,601668,中国建筑,China State Construction Engineering Co Ltd,SHH,1.27
2017-11-30,000300,沪深300,CSI 300,601669,中国电建,"Power Construction Corporation of China,Ltd",SHH,0.29
2017-11-30,000300,沪深300,CSI 300,601688,华泰证券,Huatai Securities Co Ltd,SHH,0.55
2017-11-30,000300,沪深300,CSI 300,601718,际华集团,Jihua Group Co Ltd,SHH,0.08
2017-11-30,000300,沪深300,CSI 300,601727,上海电气,Shanghai Electric Group Co Ltd,SHH,0.21
2017-11-30,000300,沪深300,CSI 300,601766,中国中车,CRRC Corporation Limited,SHH,0.99
2017-11-30,000300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,SHH,0.26
2017-11-30,000300,沪深300,CSI 300,601800,中国交建,China Communications Construction Company Limited,SHH,0.19
2017-11-30,000300,沪深300,CSI 300,601818,光大银行,China Everbright Bank Co Ltd,SHH,0.59
2017-11-30,000300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,SHH,0.35
2017-11-30,000300,沪深300,CSI 300,601866,中远海发,"COSCO SHIPPING Development Co.,Ltd.",SHH,0.1
2017-11-30,000300,沪深300,CSI 300,601872,招商轮船,"China Merchants Energy Shipping Co., Ltd.",SHH,0.08
2017-11-30,000300,沪深300,CSI 300,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,SHH,0.09
2017-11-30,000300,沪深300,CSI 300,601881,中国银河,"China Galaxy Securities Co., Ltd.",SHH,0.07
2017-11-30,000300,沪深300,CSI 300,601888,中国国旅,China International Travel Service Co Ltd,SHH,0.36
2017-11-30,000300,沪深300,CSI 300,601899,紫金矿业,Zijin Mining Group Co Ltd,SHH,0.36
2017-11-30,000300,沪深300,CSI 300,601901,方正证券,Founder Securities Co Ltd,SHH,0.28
2017-11-30,000300,沪深300,CSI 300,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",SHH,0.21
2017-11-30,000300,沪深300,CSI 300,601933,永辉超市,Yonghui Superstores Co Ltd,SHH,0.31
2017-11-30,000300,沪深300,CSI 300,601939,建设银行,China Construction Bank,SHH,0.42
2017-11-30,000300,沪深300,CSI 300,601958,金钼股份,Jinduicheng Molybdenum Co Ltd,SHH,0.06
2017-11-30,000300,沪深300,CSI 300,601966,玲珑轮胎,"Shandong Linglong Tyre Co., Ltd.",SHH,0.04
2017-11-30,000300,沪深300,CSI 300,601985,中国核电,"China National Nuclear Power Co.,Ltd.",SHH,0.3
2017-11-30,000300,沪深300,CSI 300,601988,中国银行,Bank of China Ltd,SHH,0.73
2017-11-30,000300,沪深300,CSI 300,601989,中国重工,China Shipbuilding Industry Co Ltd,SHH,0.52
2017-11-30,000300,沪深300,CSI 300,601992,金隅股份,BBMG Corporation,SHH,0.17
2017-11-30,000300,沪深300,CSI 300,601997,贵阳银行,"Bank of Guiyang Co.,Ltd.",SHH,0.09
2017-11-30,000300,沪深300,CSI 300,601998,中信银行,China Citic Bank Corporation Limited,SHH,0.17
2017-11-30,000300,沪深300,CSI 300,603160,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",SHH,0.05
